Generation,Fitness
0,0.9623485092437548
1,1.0197499670799268
2,1.0197499670799268
3,1.0197499670799268
4,1.0355576950352108
5,1.0606725898014198
6,1.181081745154019
7,1.181081745154019
8,1.181081745154019
9,1.181081745154019
10,1.181081745154019
11,1.181081745154019
12,1.181081745154019
13,1.181081745154019
14,1.181081745154019
15,1.181081745154019
